Initial_Range_m,Initial_Pursuer_Heading_Deg,Initial_Bearing_Deg,Sigma_Case_Deg
100,38,-68,60
100,37,-67,60
100,36,-66,60
110,37,-67,60
110,36,-66,60
120,37,-67,60
120,36,-66,60
130,37,-67,60
130,36,-66,60
140,36,-66,60
140,35,-65,60
150,36,-66,60
150,35,-65,60
160,36,-66,60
160,35,-65,60
170,36,-66,60
170,35,-65,60
180,36,-66,60
180,35,-65,60
190,35,-65,60
200,35,-65,60
210,35,-65,60
220,35,-65,60
220,34,-64,60
230,35,-65,60
230,34,-64,60
240,35,-65,60
240,34,-64,60
250,35,-65,60
250,34,-64,60
260,35,-65,60
260,34,-64,60
270,34,-64,60
280,34,-64,60
290,34,-64,60
300,34,-64,60
310,34,-64,60
320,34,-64,60
330,34,-64,60
340,34,-64,60
350,34,-64,60
360,34,-64,60
370,34,-64,60
380,34,-64,60
380,33,-63,60
390,34,-64,60
390,33,-63,60
400,34,-64,60
400,33,-63,60
410,34,-64,60
410,33,-63,60
420,33,-63,60
430,33,-63,60
440,33,-63,60
450,33,-63,60
460,33,-63,60
470,33,-63,60
480,33,-63,60
490,33,-63,60
500,33,-63,60
510,33,-63,60
520,33,-63,60
530,33,-63,60
540,33,-63,60
550,33,-63,60
560,33,-63,60
570,33,-63,60
580,33,-63,60
590,33,-63,60
600,33,-63,60
610,33,-63,60
620,33,-63,60
630,33,-63,60
640,33,-63,60
650,33,-63,60
660,33,-63,60
670,33,-63,60
680,33,-63,60
690,33,-63,60
700,33,-63,60
710,33,-63,60
720,33,-63,60
730,33,-63,60
850,32,-62,60
860,32,-62,60
870,32,-62,60
880,32,-62,60
890,32,-62,60
900,32,-62,60
910,32,-62,60
920,32,-62,60
930,32,-62,60
940,32,-62,60
950,32,-62,60
960,32,-62,60
970,32,-62,60
980,32,-62,60
990,32,-62,60
1000,32,-62,60
100,46,-71,65
100,45,-70,65
100,44,-69,65
110,46,-71,65
110,45,-70,65
110,44,-69,65
120,46,-71,65
120,45,-70,65
120,44,-69,65
130,46,-71,65
130,45,-70,65
130,44,-69,65
140,45,-70,65
140,44,-69,65
