Initial_Range_m,Initial_Pursuer_Heading_Deg,Initial_Bearing_Deg,Sigma_Case_Deg
100,-26,-64,0
100,-26.5,-63.5,0
100,-27,-63,0
100,-27.5,-62.5,0
100,-28,-62,0
100,-28.5,-61.5,0
100,-29,-61,0
100,-29.5,-60.5,0
100,-30,-60,0
100,-30.5,-59.5,0
100,-31,-59,0
100,-31.5,-58.5,0
100,-32,-58,0
100,-32.5,-57.5,0
100,-33,-57,0
100,-33.5,-56.5,0
100,-34,-56,0
100,-34.5,-55.5,0
100,-35,-55,0
100,-35.5,-54.5,0
100,-36,-54,0
100,-36.5,-53.5,0
100,-37,-53,0
100,-37.5,-52.5,0
100,-38,-52,0
100,-38.5,-51.5,0
100,-39,-51,0
110,-27,-63,0
110,-27.5,-62.5,0
110,-28,-62,0
110,-28.5,-61.5,0
110,-29,-61,0
110,-29.5,-60.5,0
110,-30,-60,0
110,-30.5,-59.5,0
110,-31,-59,0
110,-31.5,-58.5,0
110,-32,-58,0
110,-32.5,-57.5,0
110,-33,-57,0
110,-33.5,-56.5,0
110,-34,-56,0
110,-34.5,-55.5,0
110,-35,-55,0
110,-35.5,-54.5,0
110,-36,-54,0
110,-36.5,-53.5,0
110,-37,-53,0
110,-37.5,-52.5,0
110,-38,-52,0
110,-38.5,-51.5,0
110,-39,-51,0
110,-39.5,-50.5,0
120,-27.5,-62.5,0
120,-28,-62,0
120,-28.5,-61.5,0
120,-29,-61,0
120,-29.5,-60.5,0
120,-30,-60,0
120,-30.5,-59.5,0
120,-31,-59,0
120,-31.5,-58.5,0
120,-32,-58,0
120,-32.5,-57.5,0
120,-33,-57,0
120,-33.5,-56.5,0
120,-34,-56,0
120,-34.5,-55.5,0
120,-35,-55,0
120,-35.5,-54.5,0
120,-36,-54,0
120,-36.5,-53.5,0
120,-37,-53,0
120,-37.5,-52.5,0
120,-38,-52,0
120,-38.5,-51.5,0
120,-39,-51,0
120,-39.5,-50.5,0
130,-28,-62,0
130,-28.5,-61.5,0
130,-29,-61,0
130,-29.5,-60.5,0
130,-30,-60,0
130,-30.5,-59.5,0
130,-31,-59,0
130,-31.5,-58.5,0
130,-32,-58,0
130,-32.5,-57.5,0
130,-33,-57,0
130,-33.5,-56.5,0
130,-34,-56,0
130,-34.5,-55.5,0
130,-35,-55,0
130,-35.5,-54.5,0
130,-36,-54,0
130,-36.5,-53.5,0
130,-37,-53,0
130,-37.5,-52.5,0
130,-38,-52,0
130,-38.5,-51.5,0
130,-39,-51,0
130,-39.5,-50.5,0
140,-28.5,-61.5,0
140,-29,-61,0
140,-29.5,-60.5,0
140,-30,-60,0
140,-30.5,-59.5,0
140,-31,-59,0
140,-31.5,-58.5,0
140,-32,-58,0
140,-32.5,-57.5,0
140,-33,-57,0
140,-33.5,-56.5,0
140,-34,-56,0
140,-34.5,-55.5,0
140,-35,-55,0
140,-35.5,-54.5,0
140,-36,-54,0
140,-36.5,-53.5,0
140,-37,-53,0
140,-37.5,-52.5,0
140,-38,-52,0
140,-38.5,-51.5,0
140,-39,-51,0
140,-39.5,-50.5,0
140,-40,-50,0
150,-29,-61,0
150,-29.5,-60.5,0
150,-30,-60,0
150,-30.5,-59.5,0
150,-31,-59,0
150,-31.5,-58.5,0
150,-32,-58,0
150,-32.5,-57.5,0
150,-33,-57,0
150,-33.5,-56.5,0
150,-34,-56,0
150,-34.5,-55.5,0
150,-35,-55,0
150,-35.5,-54.5,0
150,-36,-54,0
150,-36.5,-53.5,0
150,-37,-53,0
150,-37.5,-52.5,0
150,-38,-52,0
150,-38.5,-51.5,0
150,-39,-51,0
150,-39.5,-50.5,0
150,-40,-50,0
160,-29,-61,0
160,-29.5,-60.5,0
160,-30,-60,0
160,-30.5,-59.5,0
160,-31,-59,0
160,-31.5,-58.5,0
160,-32,-58,0
160,-32.5,-57.5,0
160,-33,-57,0
160,-33.5,-56.5,0
160,-34,-56,0
160,-34.5,-55.5,0
160,-35,-55,0
160,-35.5,-54.5,0
160,-36,-54,0
160,-36.5,-53.5,0
160,-37,-53,0
160,-37.5,-52.5,0
160,-38,-52,0
160,-38.5,-51.5,0
160,-39,-51,0
160,-39.5,-50.5,0
160,-40,-50,0
170,-29.5,-60.5,0
170,-30,-60,0
170,-30.5,-59.5,0
170,-31,-59,0
170,-31.5,-58.5,0
170,-32,-58,0
170,-32.5,-57.5,0
170,-33,-57,0
170,-33.5,-56.5,0
170,-34,-56,0
170,-34.5,-55.5,0
170,-35,-55,0
170,-35.5,-54.5,0
170,-36,-54,0
170,-36.5,-53.5,0
170,-37,-53,0
170,-37.5,-52.5,0
170,-38,-52,0
170,-38.5,-51.5,0
170,-39,-51,0
170,-39.5,-50.5,0
170,-40,-50,0
180,-30,-60,0
180,-30.5,-59.5,0
180,-31,-59,0
180,-31.5,-58.5,0
180,-32,-58,0
180,-32.5,-57.5,0
180,-33,-57,0
180,-33.5,-56.5,0
180,-34,-56,0
180,-34.5,-55.5,0
180,-35,-55,0
180,-35.5,-54.5,0
180,-36,-54,0
180,-36.5,-53.5,0
180,-37,-53,0
180,-37.5,-52.5,0
180,-38,-52,0
180,-38.5,-51.5,0
180,-39,-51,0
180,-39.5,-50.5,0
180,-40,-50,0
190,-30,-60,0
190,-30.5,-59.5,0
190,-31,-59,0
190,-31.5,-58.5,0
190,-32,-58,0
190,-32.5,-57.5,0
190,-33,-57,0
190,-33.5,-56.5,0
190,-34,-56,0
190,-34.5,-55.5,0
190,-35,-55,0
190,-35.5,-54.5,0
190,-36,-54,0
190,-36.5,-53.5,0
190,-37,-53,0
190,-37.5,-52.5,0
190,-38,-52,0
190,-38.5,-51.5,0
190,-39,-51,0
190,-39.5,-50.5,0
190,-40,-50,0
190,-40.5,-49.5,0
200,-30.5,-59.5,0
200,-31,-59,0
200,-31.5,-58.5,0
200,-32,-58,0
200,-32.5,-57.5,0
200,-33,-57,0
200,-33.5,-56.5,0
200,-34,-56,0
200,-34.5,-55.5,0
200,-35,-55,0
200,-35.5,-54.5,0
200,-36,-54,0
200,-36.5,-53.5,0
200,-37,-53,0
200,-37.5,-52.5,0
200,-38,-52,0
200,-38.5,-51.5,0
200,-39,-51,0
200,-39.5,-50.5,0
200,-40,-50,0
200,-40.5,-49.5,0
210,-30.5,-59.5,0
210,-31,-59,0
210,-31.5,-58.5,0
210,-32,-58,0
210,-32.5,-57.5,0
210,-33,-57,0
210,-33.5,-56.5,0
210,-34,-56,0
210,-34.5,-55.5,0
210,-35,-55,0
210,-35.5,-54.5,0
210,-36,-54,0
210,-36.5,-53.5,0
210,-37,-53,0
210,-37.5,-52.5,0
210,-38,-52,0
210,-38.5,-51.5,0
210,-39,-51,0
210,-39.5,-50.5,0
210,-40,-50,0
210,-40.5,-49.5,0
220,-31,-59,0
220,-31.5,-58.5,0
220,-32,-58,0
220,-32.5,-57.5,0
220,-33,-57,0
220,-33.5,-56.5,0
220,-34,-56,0
220,-34.5,-55.5,0
220,-35,-55,0
220,-35.5,-54.5,0
220,-36,-54,0
220,-36.5,-53.5,0
220,-37,-53,0
220,-37.5,-52.5,0
220,-38,-52,0
220,-38.5,-51.5,0
220,-39,-51,0
220,-39.5,-50.5,0
220,-40,-50,0
220,-40.5,-49.5,0
230,-31,-59,0
230,-31.5,-58.5,0
230,-32,-58,0
230,-32.5,-57.5,0
230,-33,-57,0
230,-33.5,-56.5,0
230,-34,-56,0
230,-34.5,-55.5,0
230,-35,-55,0
230,-35.5,-54.5,0
230,-36,-54,0
230,-36.5,-53.5,0
230,-37,-53,0
230,-37.5,-52.5,0
230,-38,-52,0
230,-38.5,-51.5,0
230,-39,-51,0
230,-39.5,-50.5,0
230,-40,-50,0
230,-40.5,-49.5,0
240,-31.5,-58.5,0
240,-32,-58,0
240,-32.5,-57.5,0
240,-33,-57,0
240,-33.5,-56.5,0
240,-34,-56,0
240,-34.5,-55.5,0
240,-35,-55,0
240,-35.5,-54.5,0
240,-36,-54,0
240,-36.5,-53.5,0
240,-37,-53,0
240,-37.5,-52.5,0
240,-38,-52,0
240,-38.5,-51.5,0
240,-39,-51,0
240,-39.5,-50.5,0
240,-40,-50,0
240,-40.5,-49.5,0
250,-31.5,-58.5,0
250,-32,-58,0
250,-32.5,-57.5,0
250,-33,-57,0
250,-33.5,-56.5,0
250,-34,-56,0
250,-34.5,-55.5,0
250,-35,-55,0
250,-35.5,-54.5,0
250,-36,-54,0
250,-36.5,-53.5,0
250,-37,-53,0
250,-37.5,-52.5,0
250,-38,-52,0
250,-38.5,-51.5,0
250,-39,-51,0
250,-39.5,-50.5,0
250,-40,-50,0
250,-40.5,-49.5,0
260,-31.5,-58.5,0
260,-32,-58,0
260,-32.5,-57.5,0
260,-33,-57,0
260,-33.5,-56.5,0
260,-34,-56,0
260,-34.5,-55.5,0
260,-35,-55,0
260,-35.5,-54.5,0
260,-36,-54,0
260,-36.5,-53.5,0
260,-37,-53,0
260,-37.5,-52.5,0
260,-38,-52,0
260,-38.5,-51.5,0
260,-39,-51,0
260,-39.5,-50.5,0
260,-40,-50,0
260,-40.5,-49.5,0
270,-32,-58,0
270,-32.5,-57.5,0
270,-33,-57,0
270,-33.5,-56.5,0
270,-34,-56,0
270,-34.5,-55.5,0
270,-35,-55,0
270,-35.5,-54.5,0
270,-36,-54,0
270,-36.5,-53.5,0
270,-37,-53,0
270,-37.5,-52.5,0
270,-38,-52,0
270,-38.5,-51.5,0
270,-39,-51,0
270,-39.5,-50.5,0
270,-40,-50,0
270,-40.5,-49.5,0
270,-41,-49,0
280,-32,-58,0
280,-32.5,-57.5,0
280,-33,-57,0
280,-33.5,-56.5,0
280,-34,-56,0
280,-34.5,-55.5,0
280,-35,-55,0
280,-35.5,-54.5,0
280,-36,-54,0
280,-36.5,-53.5,0
280,-37,-53,0
280,-37.5,-52.5,0
280,-38,-52,0
280,-38.5,-51.5,0
280,-39,-51,0
280,-39.5,-50.5,0
280,-40,-50,0
280,-40.5,-49.5,0
280,-41,-49,0
290,-32,-58,0
290,-32.5,-57.5,0
290,-33,-57,0
290,-33.5,-56.5,0
290,-34,-56,0
290,-34.5,-55.5,0
290,-35,-55,0
290,-35.5,-54.5,0
290,-36,-54,0
290,-36.5,-53.5,0
290,-37,-53,0
290,-37.5,-52.5,0
290,-38,-52,0
290,-38.5,-51.5,0
290,-39,-51,0
290,-39.5,-50.5,0
290,-40,-50,0
290,-40.5,-49.5,0
290,-41,-49,0
300,-32.5,-57.5,0
300,-33,-57,0
300,-33.5,-56.5,0
300,-34,-56,0
300,-34.5,-55.5,0
300,-35,-55,0
300,-35.5,-54.5,0
300,-36,-54,0
300,-36.5,-53.5,0
300,-37,-53,0
300,-37.5,-52.5,0
300,-38,-52,0
300,-38.5,-51.5,0
300,-39,-51,0
300,-39.5,-50.5,0
300,-40,-50,0
300,-40.5,-49.5,0
300,-41,-49,0
310,-32.5,-57.5,0
310,-33,-57,0
310,-33.5,-56.5,0
310,-34,-56,0
310,-34.5,-55.5,0
310,-35,-55,0
310,-35.5,-54.5,0
310,-36,-54,0
310,-36.5,-53.5,0
310,-37,-53,0
310,-37.5,-52.5,0
310,-38,-52,0
310,-38.5,-51.5,0
310,-39,-51,0
310,-39.5,-50.5,0
310,-40,-50,0
310,-40.5,-49.5,0
310,-41,-49,0
320,-32.5,-57.5,0
320,-33,-57,0
320,-33.5,-56.5,0
320,-34,-56,0
320,-34.5,-55.5,0
320,-35,-55,0
320,-35.5,-54.5,0
320,-36,-54,0
320,-36.5,-53.5,0
320,-37,-53,0
320,-37.5,-52.5,0
320,-38,-52,0
320,-38.5,-51.5,0
320,-39,-51,0
320,-39.5,-50.5,0
320,-40,-50,0
320,-40.5,-49.5,0
320,-41,-49,0
330,-33,-57,0
330,-33.5,-56.5,0
330,-34,-56,0
330,-34.5,-55.5,0
330,-35,-55,0
330,-35.5,-54.5,0
330,-36,-54,0
330,-36.5,-53.5,0
330,-37,-53,0
330,-37.5,-52.5,0
330,-38,-52,0
330,-38.5,-51.5,0
330,-39,-51,0
330,-39.5,-50.5,0
330,-40,-50,0
330,-40.5,-49.5,0
330,-41,-49,0
340,-33,-57,0
340,-33.5,-56.5,0
340,-34,-56,0
340,-34.5,-55.5,0
340,-35,-55,0
340,-35.5,-54.5,0
340,-36,-54,0
340,-36.5,-53.5,0
340,-37,-53,0
340,-37.5,-52.5,0
340,-38,-52,0
340,-38.5,-51.5,0
340,-39,-51,0
340,-39.5,-50.5,0
340,-40,-50,0
340,-40.5,-49.5,0
340,-41,-49,0
350,-33,-57,0
350,-33.5,-56.5,0
350,-34,-56,0
350,-34.5,-55.5,0
350,-35,-55,0
350,-35.5,-54.5,0
350,-36,-54,0
350,-36.5,-53.5,0
350,-37,-53,0
350,-37.5,-52.5,0
