Initial_Range_m,Initial_Pursuer_Heading_Deg,Initial_Bearing_Deg,Sigma_Case_Deg
100,-35,-55,0
100,-38,-52,0
110,-29,-61,0
110,-32,-58,0
110,-35,-55,0
120,-29,-61,0
120,-32,-58,0
130,-29,-61,0
130,-32,-58,0
140,-32,-58,0
150,-32,-58,0
190,-32,-58,0
80,-8,-67,15
80,-11,-64,15
80,-14,-61,15
90,-8,-67,15
90,-11,-64,15
90,-14,-61,15
100,-11,-64,15
110,-11,-64,15
120,-11,-64,15
130,-11,-64,15
140,-11,-64,15
60,13,-73,30
60,9.99999999999999,-70,30
70,16,-76,30
70,9.99999999999999,-70,30
80,13,-73,30
80,9.99999999999999,-70,30
80,7,-67,30
90,13,-73,30
90,9.99999999999999,-70,30
90,7,-67,30
100,13,-73,30
100,9.99999999999999,-70,30
110,9.99999999999999,-70,30
110,7,-67,30
120,13,-73,30
120,9.99999999999999,-70,30
130,9.99999999999999,-70,30
130,7,-67,30
150,7,-67,30
160,7,-67,30
180,7,-67,30
190,7,-67,30
200,3.99999999999998,-64,30
40,34,-79,45
40,31,-76,45
40,28,-73,45
50,31,-76,45
50,28,-73,45
60,31,-76,45
60,28,-73,45
60,25,-70,45
70,31,-76,45
70,25,-70,45
80,34,-79,45
80,31,-76,45
80,28,-73,45
80,25,-70,45
90,34,-79,45
90,31,-76,45
90,28,-73,45
90,25,-70,45
100,31,-76,45
100,28,-73,45
100,25,-70,45
110,25,-70,45
110,22,-67,45
120,28,-73,45
120,25,-70,45
130,31,-76,45
130,28,-73,45
130,25,-70,45
130,22,-67,45
140,31,-76,45
140,28,-73,45
140,25,-70,45
150,28,-73,45
150,25,-70,45
150,22,-67,45
160,31,-76,45
160,25,-70,45
160,22,-67,45
170,31,-76,45
170,25,-70,45
180,31,-76,45
180,28,-73,45
180,25,-70,45
180,22,-67,45
190,22,-67,45
200,28,-73,45
20,52,-82,60
30,52,-82,60
40,52,-82,60
40,49,-79,60
40,46,-76,60
50,46,-76,60
50,43,-73,60
60,52,-82,60
60,49,-79,60
60,46,-76,60
60,43,-73,60
70,52,-82,60
70,49,-79,60
70,46,-76,60
70,40,-70,60
80,52,-82,60
80,49,-79,60
80,46,-76,60
80,43,-73,60
80,40,-70,60
90,52,-82,60
90,46,-76,60
90,43,-73,60
90,40,-70,60
100,52,-82,60
100,46,-76,60
100,43,-73,60
100,40,-70,60
110,52,-82,60
110,40,-70,60
120,52,-82,60
120,49,-79,60
120,46,-76,60
120,43,-73,60
120,40,-70,60
130,52,-82,60
130,49,-79,60
130,43,-73,60
130,40,-70,60
130,37,-67,60
140,49,-79,60
140,46,-76,60
140,43,-73,60
140,40,-70,60
150,46,-76,60
150,43,-73,60
150,40,-70,60
150,37,-67,60
160,49,-79,60
160,46,-76,60
160,40,-70,60
160,37,-67,60
170,49,-79,60
170,46,-76,60
170,40,-70,60
180,49,-79,60
180,46,-76,60
180,43,-73,60
180,40,-70,60
180,37,-67,60
190,46,-76,60
190,40,-70,60
190,37,-67,60
200,46,-76,60
200,43,-73,60
30,67,-82,75
40,70,-85,75
40,67,-82,75
40,64,-79,75
50,70,-85,75
50,67,-82,75
60,64,-79,75
70,67,-82,75
70,64,-79,75
80,70,-85,75
80,67,-82,75
80,64,-79,75
90,70,-85,75
90,67,-82,75
90,61,-76,75
100,70,-85,75
100,67,-82,75
100,61,-76,75
110,70,-85,75
110,67,-82,75
120,67,-82,75
120,64,-79,75
130,70,-85,75
130,67,-82,75
130,64,-79,75
140,70,-85,75
140,67,-82,75
140,64,-79,75
150,70,-85,75
150,67,-82,75
150,61,-76,75
160,70,-85,75
160,67,-82,75
160,64,-79,75
160,61,-76,75
170,67,-82,75
170,64,-79,75
170,61,-76,75
180,70,-85,75
180,64,-79,75
180,61,-76,75
190,67,-82,75
190,61,-76,75
200,67,-82,75
200,61,-76,75
